Database,Nome da empresa,CNAE,Produto propenso,Familia do produto propenso,Secao do produto propenso,Data do contato,Comentario,Responsavel pelo contato,Diretoria do cliente,Diretoria do cliente ID,Regional do cliente,Regional do cliente ID,Agencia do cliente,Agencia do cliente ID,Gerente de gestao do cliente,Gerente de gestao do cliente ID,Gerente do cliente,Gerente do cliente ID,Credito pre aprovado,Origem do lead
2025-03-09,Base Eventos,8017-3/63,Cartões,Cartões,Ligadas,2025-03-14,Necessário envio de documentação complementar até sexta-feira.,Carla Menezes,Norte & Nordeste,1,Regional Salvador,2234,Salvador Comércio,1010,Marcos Vieira,1200456,Helena Costa,9988776,214000,link
2025-03-10,Traço Importação e Exportação,6111-6/29,Seguros,Seguros,Ligadas,2025-03-15,Solicitou proposta integrada com soluções digitais de cobrança.,Helena Costa,Norte & Nordeste,1,Regional Salvador,2234,Salvador Comércio,1010,Marcos Vieira,1200456,Helena Costa,9988776,219500,link
2025-03-11,Pacto Educação,5269-4/24,Captação Bruta,Captação,Captação,2025-03-16,Cliente deseja simular condições personalizadas antes da próxima reunião.,Rafael Souza,Sudeste,2,Regional Belo Horizonte,5681,Belo Horizonte Centro,1005,Luciana Faria,4152678,Rafael Souza,8899776,225000,smart
2025-03-12,Impacto Bens de Capital,6662-9/16,Captação Líquida,Captação,Captação,2025-03-17,Interessado em migrar folha de pagamento junto com o pacote de crédito.,Fernanda Dias,Sudeste,2,Regional Belo Horizonte,5681,Belo Horizonte Centro,1005,Luciana Faria,4152678,Rafael Souza,8899776,230500,smart
2025-03-13,Inova Comunicação,6086-1/37,Portabilidade de Previdência,Portabilidade de Previdência,Captação,2025-03-18,Preferiu aguardar aprovação do conselho administrativo para avançar.,Lara Costa,Sudeste,2,Regional Belo Horizonte,5681,Belo Horizonte Centro,1005,Luciana Faria,4152678,Rafael Souza,8899776,236000,smart
2025-03-14,Paralelo Holding,7045-9/31,Centralização de Caixa,Centralização de Caixa,Captação,2025-03-19,Aguardando retorno sobre implantação de centralização de caixa.,Sofia Martins,Sudeste,2,Regional Belo Horizonte,5681,Belo Horizonte Centro,1005,Luciana Faria,4152678,Rafael Souza,8899776,61500,smart
2025-03-15,Referência Facilities,2882-5/35,Produção de Crédito PJ,Produção de Crédito PJ,Crédito,2025-03-20,Pediu visita técnica para apresentação das ferramentas digitais.,Tiago Andrade,Sudeste,2,Regional Belo Horizonte,5681,Belo Horizonte Centro,1005,Luciana Faria,4152678,Rafael Souza,8899776,67000,smart
2025-03-16,Vetor Investimentos,1070-3/81,Limite Rotativo PJ (Volume),Limite Rotativo PJ,Crédito,2025-03-21,Contato demonstra potencial para cross-sell com seguros empresariais.,Eduardo Freitas,Sul & Centro-Oeste,5,Regional Porto Alegre,5588,Porto Alegre Centro,1006,Renato Alves,2088441,Fernanda Dias,6677889,72500,link
2025-03-17,Eixo Produção Audiovisual,1872-6/14,Limite Rotativo PJ (Quantidade),Limite Rotativo PJ,Crédito,2025-03-22,Indicou necessidade de capital de giro para expansão imediata.,Ana Lima,Sul & Centro-Oeste,5,Regional Porto Alegre,5588,Porto Alegre Centro,1006,Renato Alves,2088441,Fernanda Dias,6677889,78000,link
2025-03-18,Comando Planejamento Estratégico,4245-8/70,Consórcios,Consórcios,Ligadas,2025-03-23,"Negociação em fase final, pendente apenas revisão contratual.",Paulo Nunes,Sul & Centro-Oeste,5,Regional Porto Alegre,5588,Porto Alegre Centro,1006,Renato Alves,2088441,Fernanda Dias,6677889,83500,link
2025-03-19,Talento Tecnologia,8384-9/46,Cartões,Cartões,Ligadas,2025-03-24,Necessário envio de documentação complementar até sexta-feira.,Juliana Prado,Sul & Centro-Oeste,5,Regional Porto Alegre,5588,Porto Alegre Centro,1006,Renato Alves,2088441,Fernanda Dias,6677889,89000,link
2025-03-20,Pulsar Serviços Corporativos,7629-9/57,Seguros,Seguros,Ligadas,2025-03-25,Solicitou proposta integrada com soluções digitais de cobrança.,Bruno Garcia,Sul & Centro-Oeste,5,Regional Porto Alegre,5588,Porto Alegre Centro,1006,Renato Alves,2088441,Fernanda Dias,6677889,94500,link
2025-03-01,Suprema Engenharia,8866-4/40,Captação Bruta,Captação,Captação,2025-03-06,Cliente deseja simular condições personalizadas antes da próxima reunião.,Carla Menezes,Norte & Nordeste,1,Regional Manaus,4455,Manaus Centro,2001,Marina Albuquerque,7755123,Lara Costa,6677881,100000,smart
2025-03-02,Magna Consultoria Empresarial,8676-6/36,Captação Líquida,Captação,Captação,2025-03-07,Interessado em migrar folha de pagamento junto com o pacote de crédito.,Helena Costa,Norte & Nordeste,1,Regional Manaus,4455,Manaus Centro,2001,Marina Albuquerque,7755123,Lara Costa,6677881,105500,smart
2025-03-03,Granito Soluções Financeiras,9383-7/84,Portabilidade de Previdência,Portabilidade de Previdência,Captação,2025-03-08,Preferiu aguardar aprovação do conselho administrativo para avançar.,Rafael Souza,Norte & Nordeste,1,Regional Manaus,4455,Manaus Centro,2001,Marina Albuquerque,7755123,Lara Costa,6677881,111000,smart
2025-03-04,Safira Atacado,2019-1/81,Centralização de Caixa,Centralização de Caixa,Captação,2025-03-09,Aguardando retorno sobre implantação de centralização de caixa.,Fernanda Dias,Norte & Nordeste,1,Regional Manaus,4455,Manaus Centro,2001,Marina Albuquerque,7755123,Lara Costa,6677881,116500,smart
2025-03-05,Impetus Telecom,2614-4/83,Produção de Crédito PJ,Produção de Crédito PJ,Crédito,2025-03-10,Pediu visita técnica para apresentação das ferramentas digitais.,Lara Costa,Norte & Nordeste,1,Regional Manaus,4455,Manaus Centro,2001,Marina Albuquerque,7755123,Lara Costa,6677881,122000,smart
2025-03-06,Amplitude Distribuição,4536-7/51,Limite Rotativo PJ (Volume),Limite Rotativo PJ,Crédito,2025-03-11,Contato demonstra potencial para cross-sell com seguros empresariais.,Sofia Martins,Sul & Centro-Oeste,5,Regional Florianópolis,7790,Florianópolis Beira-Mar,2002,Rodrigo Azevedo,7999123,Sofia Martins,6888455,127500,link
2025-03-07,Bloco Agroindustrial,9386-3/16,Limite Rotativo PJ (Quantidade),Limite Rotativo PJ,Crédito,2025-03-12,Indicou necessidade de capital de giro para expansão imediata.,Tiago Andrade,Sul & Centro-Oeste,5,Regional Florianópolis,7790,Florianópolis Beira-Mar,2002,Rodrigo Azevedo,7999123,Sofia Martins,6888455,133000,link
2025-03-08,Labore Gestão Tributária,6175-8/83,Consórcios,Consórcios,Ligadas,2025-03-13,"Negociação em fase final, pendente apenas revisão contratual.",Eduardo Freitas,Sul & Centro-Oeste,5,Regional Florianópolis,7790,Florianópolis Beira-Mar,2002,Rodrigo Azevedo,7999123,Sofia Martins,6888455,138500,link
2025-03-09,Prisma Educação,9926-5/71,Cartões,Cartões,Ligadas,2025-03-14,Necessário envio de documentação complementar até sexta-feira.,Ana Lima,Sul & Centro-Oeste,5,Regional Florianópolis,7790,Florianópolis Beira-Mar,2002,Rodrigo Azevedo,7999123,Sofia Martins,6888455,144000,link
2025-03-10,Ritmo Bens de Capital,3674-3/50,Seguros,Seguros,Ligadas,2025-03-15,Solicitou proposta integrada com soluções digitais de cobrança.,Paulo Nunes,Sul & Centro-Oeste,5,Regional Florianópolis,7790,Florianópolis Beira-Mar,2002,Rodrigo Azevedo,7999123,Sofia Martins,6888455,149500,link
2025-03-11,Opus Gestão Ambiental,9729-7/25,Captação Bruta,Captação,Captação,2025-03-16,Cliente deseja simular condições personalizadas antes da próxima reunião.,Juliana Prado,Sul & Centro-Oeste,5,Regional Goiânia,5599,Goiânia Setor Bueno,2003,Helena Duarte,7456123,Tiago Andrade,6554433,155000,smart
2025-03-12,Elemento Metalmecânica,6700-5/23,Captação Líquida,Captação,Captação,2025-03-17,Interessado em migrar folha de pagamento junto com o pacote de crédito.,Bruno Garcia,Sul & Centro-Oeste,5,Regional Goiânia,5599,Goiânia Setor Bueno,2003,Helena Duarte,7456123,Tiago Andrade,6554433,160500,smart
2025-03-13,Teia Moda,6603-4/85,Portabilidade de Previdência,Portabilidade de Previdência,Captação,2025-03-18,Preferiu aguardar aprovação do conselho administrativo para avançar.,Carla Menezes,Sul & Centro-Oeste,5,Regional Goiânia,5599,Goiânia Setor Bueno,2003,Helena Duarte,7456123,Tiago Andrade,6554433,166000,smart
2025-03-14,Torque Investimentos,3631-3/78,Centralização de Caixa,Centralização de Caixa,Captação,2025-03-19,Aguardando retorno sobre implantação de centralização de caixa.,Helena Costa,Sul & Centro-Oeste,5,Regional Goiânia,5599,Goiânia Setor Bueno,2003,Helena Duarte,7456123,Tiago Andrade,6554433,171500,smart
2025-03-15,Astro Produção Audiovisual,7279-1/59,Produção de Crédito PJ,Produção de Crédito PJ,Crédito,2025-03-20,Pediu visita técnica para apresentação das ferramentas digitais.,Rafael Souza,Sul & Centro-Oeste,5,Regional Goiânia,5599,Goiânia Setor Bueno,2003,Helena Duarte,7456123,Tiago Andrade,6554433,177000,smart
2025-03-16,Intelecto Serviços Marítimos,2015-8/71,Limite Rotativo PJ (Volume),Limite Rotativo PJ,Crédito,2025-03-21,Contato demonstra potencial para cross-sell com seguros empresariais.,Fernanda Dias,Sudeste,2,Regional Campinas,7833,Agência 2004 • Campinas Tech,2004,Patrícia Sampaio,7332211,Eduardo Freitas,6443322,182500,link
2025-03-17,Panorama Farmacêutica,5457-7/57,Limite Rotativo PJ (Quantidade),Limite Rotativo PJ,Crédito,2025-03-22,Indicou necessidade de capital de giro para expansão imediata.,Lara Costa,Sudeste,2,Regional Campinas,7833,Agência 2004 • Campinas Tech,2004,Patrícia Sampaio,7332211,Eduardo Freitas,6443322,188000,link
2025-03-18,Avance Sustentabilidade,9007-8/39,Consórcios,Consórcios,Ligadas,2025-03-23,"Negociação em fase final, pendente apenas revisão contratual.",Sofia Martins,Sudeste,2,Regional Campinas,7833,Agência 2004 • Campinas Tech,2004,Patrícia Sampaio,7332211,Eduardo Freitas,6443322,193500,link
2025-03-19,Conquista Engenharia,2442-2/29,Cartões,Cartões,Ligadas,2025-03-24,Necessário envio de documentação complementar até sexta-feira.,Tiago Andrade,Sudeste,2,Regional Campinas,7833,Agência 2004 • Campinas Tech,2004,Patrícia Sampaio,7332211,Eduardo Freitas,6443322,199000,link
2025-03-20,Matriz Consultoria Empresarial,9021-1/94,Seguros,Seguros,Ligadas,2025-03-25,Solicitou proposta integrada com soluções digitais de cobrança.,Eduardo Freitas,Sudeste,2,Regional Campinas,7833,Agência 2004 • Campinas Tech,2004,Patrícia Sampaio,7332211,Eduardo Freitas,6443322,204500,link
